geoid,R,W,Fii
26163558100,1035,1469,0
26163558200,607,1866,0
26163558301,23547,899,0
26163558400,814,1747,0
26163558500,312,1681,0
26163558600,487,924,0
26163558700,376,1247,0
26163558800,37,1280,0
26163558900,739,902,0
26163559000,37,1275,0
26163559100,227,1191,0
26163559200,150,1005,0
26163559800,682,587,0
26163560100,2039,1051,0
26163560201,195,952,0
26163560202,1233,1362,0
26163560300,1604,1386,0
26163560400,937,2383,0
26163561200,371,2797,0
26163561301,412,1587,0
26163561302,1988,1458,0
26163561600,3253,1757,0
26163561700,12117,1139,0
26163561900,285,2698,0
26163562300,465,865,0
26163562400,998,2161,0
26163562500,1665,947,0
26163562600,2744,1706,0
26163562700,2126,1527,0
26163562800,5802,1588,0
26163562900,2086,1451,0
26163563200,106,1299,0
26163563300,2237,1326,0
26163563400,480,2048,0
26163563500,898,2465,0
26163563600,918,956,0
26163563700,704,825,0
26163563800,199,1306,0
26163563900,3146,1129,0
26163564000,1446,941,0
26163564100,478,1873,0
26163564200,1173,1657,0
26163564300,243,1095,0
26163564401,572,2536,0
26163564402,703,2556,0
26163564501,100,2525,0
26163564502,946,1422,0
26163564503,1514,1512,0
26163564504,577,3286,0
26163564600,532,3129,0
26163564700,392,2024,0
26163564800,989,2114,0
26163564900,1600,982,0
26163565001,248,2046,0
26163565100,2647,1434,0
26163565200,266,1893,0
26163565301,563,750,0
26163565302,479,1790,0
26163565600,114,943,0
26163565700,215,1462,0
26163565800,355,1441,0
26163565900,234,1069,0
26163566400,545,465,0
26163566500,1429,824,0
26163566600,348,818,0
26163566700,5805,1626,0
26163566800,635,1163,0
26163566900,583,1939,0
26163567000,118,1200,0
26163567100,1043,1376,0
26163567201,210,1535,0
26163567202,165,1323,0
26163567300,225,1946,0
26163567400,987,995,0
26163567800,1002,1899,0
26163567900,417,1269,0
26163568000,680,804,0
26163568200,1268,1497,0
26163568300,281,1735,0
26163568400,239,1570,0
26163568500,158,1396,0
26163568700,622,1448,0
26163568800,462,1540,0
26163568900,1201,1053,0
26163569100,294,1018,0
26163569200,1508,1100,0
26163569300,562,1538,0
26163569400,442,1244,0
26163569500,220,1106,0
26163569600,76,1481,0
26163569700,347,1790,0
26163569800,405,976,0
26163569900,58,1082,0
26163570100,382,1381,0
26163570200,147,1012,0
26163570400,540,1695,0
26163570500,708,1186,0
26163570600,78,641,0
26163570800,74,854,0
26163570900,95,792,0
26163571000,143,785,0
26163571500,535,1535,0
26163571600,593,582,0
26163571700,232,853,0
26163571800,317,1177,0
26163571900,56,1106,0
26163572000,87,745,0
26163572100,1176,2046,0
26163572200,810,2006,0
26163572400,382,555,0
26163572500,306,659,0
26163572600,566,1786,0
26163572700,405,1743,0
26163572800,253,1999,0
26163572900,76,904,0
26163573000,1013,1066,0
26163573100,346,1657,0
26163573300,950,1006,0
26163573400,974,1067,0
26163573501,2124,1023,0
26163573600,1814,1660,0
26163573701,112,577,0
26163573702,750,1649,0
26163573800,1336,1308,0
26163573900,529,1351,0
26163574000,1626,1532,0
26163574100,1231,1160,0
26163574203,770,1172,0
26163574301,894,1210,0
26163574600,549,2028,0
26163574700,538,1777,0
26163574800,94,1734,0
26163574900,5249,760,0
26163575000,768,1695,0
26163575100,715,1097,0
26163575200,962,1636,0
26163575300,232,1545,0
26163575401,499,1365,0
26163575500,268,1602,0
26163575600,561,748,0
26163576001,52,693,0
26163576100,1079,2192,0
26163576200,211,974,0
26163576300,262,978,0
26163576400,1374,1356,0
26163576500,375,1495,0
26163576600,161,1600,0
26163576700,238,1454,0
26163577000,706,1304,0
26163577100,321,944,0
26163577200,612,1088,0
26163577300,670,1126,0
26163577400,794,1200,0
26163577500,157,1217,0
26163577600,100,1237,0
26163577700,70,877,0
26163577800,555,1727,0
26163577900,213,1402,0
26163578000,183,933,0
26163578500,639,1716,0
26163578600,1267,1820,0
26163579100,334,522,0
26163579200,387,939,0
26163579300,109,759,0
26163579501,180,444,0
26163579600,190,957,0
26163579700,80,901,0
26163579800,567,409,0
26163579900,10358,1824,0
26163580100,1994,745,0
26163580200,25,1082,0
26163580300,115,1101,0
26163580400,482,1070,0
26163580500,308,1247,0
26163580600,287,1189,0
26163580700,1236,1312,0
26163580800,494,576,0
26163580900,1054,1512,0
26163581101,1585,1518,0
26163581200,642,1380,0
26163581500,173,999,0
26163581600,1533,2258,0
26163581800,205,1089,0
26163581900,487,1938,0
26163582000,1317,1262,0
26163582100,676,1557,0
26163583001,424,945,0
26163583101,84,1411,0
26163583200,1197,1070,0
26163583300,467,1007,0
26163583400,433,2054,0
26163583500,81,1096,0
26163583600,59,1048,0
26163583700,597,1588,0
26163583800,1025,1743,0
26163583900,696,1581,0
26163584000,315,1730,0
26163584100,1231,713,0
26163584200,831,1298,0
26163584300,2701,878,0
26163584400,2222,1181,0
26163584501,4698,1032,0
26163584600,1341,775,0
26163584700,230,937,0
26163584801,55,962,0
26163584802,48,1057,0
26163585500,3406,692,0
26163585600,286,1445,0
26163585700,659,845,0
26163585800,2255,1852,0
26163585900,489,1171,0
26163586201,4943,2567,0
26163586300,1870,870,0
26163587000,1288,1633,0
26163587900,4121,2722,0
26163588001,125,1652,0
26163588002,57,1401,0
26163588101,1281,588,0
26163588102,1048,622,0
26163588200,261,1400,0
26163588300,346,2291,0
26163588400,911,2406,0
26163589300,105,1275,0
26163589401,405,948,0
26163589402,92,1196,0
26163590401,1889,3063,0
26163590500,2038,2327,0
26163590600,239,1017,0
26163591501,363,1469,0
26163591502,2677,1344,0
26163591600,1201,1036,0
26163591700,453,2773,0
26163591800,707,2296,0
26163591900,538,2110,0
26163592000,132,1942,0
26163593001,1125,2115,0
26163593200,154,1568,0
26163593301,336,1423,0
26163594000,739,1023,0
26163594100,442,1712,0
26163594200,229,1021,0
26163594300,336,1291,0
26163594401,1538,1111,0
26163594500,307,1296,0
26163595000,888,1392,0
26163595100,2853,1966,0
26163595201,416,1127,0
26163596100,375,1257,0
26163596200,624,1571,0
26163596300,121,1181,0
26163597000,679,1977,0
26163598000,327,1327,0
26163599001,1091,1939,0
26163599100,159,2047,0
26163981700,2,121,0
26163981800,2767,114,0
26163981901,4840,56,0
26163981902,2062,50,0
26163982000,570,89,0
26163982101,594,72,0
26163982102,1956,67,0
26163982200,54,61,0
26163982301,312,76,0
26163982302,0,62,0
26163982400,690,88,0
26163982500,782,64,0
26163982600,8,82,0
26163982700,694,75,0
26163982900,583,70,0
26163983100,363,80,0
26163983200,191,73,0
26163983301,2564,67,0
26163983302,4283,59,0
26163983400,3895,84,0
26163983600,453,76,0
26163983700,2084,104,0
26163983800,9293,83,0
26163983901,1674,87,0
26163983902,7620,112,0
26163983903,10037,101,0
26163984100,129,45,0
26163984200,489,46,0
26163985000,378,48,0
26163985100,2392,98,0
26163985200,5946,58,0
26163985300,1251,110,0
26163985400,12377,65,0
26163985500,64,38,0
26163985600,149,37,0
26163985700,7818,81,0
26163985800,0,65,0
26163985900,195,54,0
26163986100,0,65,0
26163986200,0,76,0
26163986300,227,66,0
26163986400,0,91,0
26163986501,2,74,0
26163986502,414,73,0
26163986600,36,111,0
26163987000,104,38,0
